CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MODEL,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,EAF_PCT,UCF_PCT,NON_ELEC
ca,CANADA,CA-4,PICKERING-1,PHWR,CANDU 500A,1744,542,515,OPG,OH/AECL,06-1966,04-1971,07-1971,72.9,73.4,-
ca,CANADA,CA-7,PICKERING-4,PHWR,CANDU 500A,1744,542,515,OPG,OH/AECL,05-1968,05-1973,06-1973,74.4,74.8,-
ca,CANADA,CA-13,PICKERING-5,PHWR,CANDU 500B,1744,540,516,OPG,OH/AECL,11-1974,12-1982,05-1983,76.4,77.4,-
ca,CANADA,CA-14,PICKERING-6,PHWR,CANDU 500B,1744,540,516,OPG,OH/AECL,10-1975,11-1983,02-1984,81.8,82.7,-
ca,CANADA,CA-15,PICKERING-7,PHWR,CANDU 500B,1744,540,516,OPG,OH/AECL,03-1976,11-1984,01-1985,78.5,79.1,-
ca,CANADA,CA-16,PICKERING-8,PHWR,CANDU 500B,1744,540,516,OPG,OH/AECL,09-1976,01-1986,02-1986,74.5,75,-
ca,CANADA,CA-17,POINT LEPREAU,PHWR,CANDU 6,2180,705,660,NBEPC,AECL,05-1975,09-1982,02-1983,57.9,57.9,-
cn,CHINA,CN-84,CEFR,FBR,BN-20,65,25,20,CIAE,IZ,05-2000,07-2020,-,-,-,-
cn,CHINA,CN-36,CHANGJIANG-1,PWR,CNP-600,1930,650,601,HNPC,DEC,04-2020,11-2020,12-2020,87.2,87.2,-
cn,CHINA,CN-37,CHANGJIANG-2,PWR,CNP-600,1930,650,601,HNPC,DEC,11-2020,06-2020,08-2020,87.5,87.5,-
cn,CHINA,CN-2,DAYA BAY-1,PWR,M310,2905,984,944,DNMC,FRAM,08-1987,08-1993,02-1994,90.6,90.7,-
cn,CHINA,CN-3,DAYA BAY-2,PWR,M310,2905,984,944,DNMC,FRAM,04-1988,02-1994,05-1994,90.6,90.7,-
cn,CHINA,CN-38,FANGCHENGGANG-1,PWR,CPR-1000,2905,1086,1000,GFNPC,DEC,07-2020,10-2020,01-2020,91.6,91.7,-
cn,CHINA,CN-39,FANGCHENGGANG-2,PWR,CPR-1000,2905,1086,1000,GFNPC,DEC,12-2020,07-2020,10-2020,91.5,91.5,-
cn,CHINA,CN-24,FANGJIASHAN-1,PWR,CPR-1000,2905,1089,1012,QNPC,NPIC,12-2020,11-2020,12-2020,90.9,91.4,-
cn,CHINA,CN-25,FANGJIASHAN-2,PWR,CPR-1000,2905,1089,1012,QNPC,NPIC,07-2020,01-2020,02-2020,90.8,91.1,-
cn,CHINA,CN-20,FUQING-1,PWR,CNP-1000,2905,1089,1000,FQNP,NPIC,11-2020,08-2020,11-2020,87.9,88,-
cn,CHINA,CN-21,FUQING-2,PWR,CNP-1000,2905,1089,1000,FQNP,NPIC,06-2020,08-2020,10-2020,88.4,88.6,-
cn,CHINA,CN-42,FUQING-3,PWR,CNP-1000,2905,1089,1000,FQNP,NPIC,12-2020,09-2020,10-2020,89.3,89.5,-
cn,CHINA,CN-43,FUQING-4,PWR,CNP-1000,2905,1089,1000,FQNP,NPIC,11-2020,07-2020,09-2020,86.3,86.5,-
cn,CHINA,CN-30,HAIYANG-1,PWR,AP-1000,3415,1250,1170,SDNPC,WH,09-2020,08-2020,10-2020,96.1,96.9,-
cn,CHINA,CN-31,HAIYANG-2,PWR,AP-1000,3415,1250,1170,SDNPC,WH,06-2020,10-2020,01-2020,97.4,98.4,-
cn,CHINA,CN-16,HONGYANHE-1,PWR,CPR-1000,2905,1119,1061,LHNPC,DEC,08-2020,02-2020,06-2020,87.4,88.2,-
cn,CHINA,CN-17,HONGYANHE-2,PWR,CPR-1000,2905,1119,1061,LHNPC,DEC,03-2020,11-2020,05-2020,84.9,85.9,-
cn,CHINA,CN-26,HONGYANHE-3,PWR,CPR-1000,2905,1119,1061,LHNPC,DEC,03-2020,03-2020,08-2020,88,89.3,-
cn,CHINA,CN-27,HONGYANHE-4,PWR,CPR-1000,2905,1119,1061,LHNPC,DEC,08-2020,04-2020,06-2020,88.6,89.7,-
cn,CHINA,CN-6,LING AO-1,PWR,M310,2905,990,950,DNMC,FRAM,05-1997,02-2020,05-2020,90.6,91,-
cn,CHINA,CN-7,LING AO-2,PWR,M310,2905,990,950,DNMC,FRAM,11-1997,09-2020,01-2020,91.5,91.9,-
cn,CHINA,CN-12,LING AO-3,PWR,CPR-1000,2905,1086,1007,DNMC,DEC,12-2020,07-2020,09-2020,87.9,88.2,-
cn,CHINA,CN-13,LING AO-4,PWR,CPR-1000,2905,1086,1007,DNMC,DEC,06-2020,05-2020,08-2020,89.8,90.1,-
cn,CHINA,CN-18,NINGDE-1,PWR,CPR-1000,2905,1089,1018,NDNP,DEC,02-2020,12-2020,04-2020,86.8,86.9,-
cn,CHINA,CN-19,NINGDE-2,PWR,CPR-1000,2905,1089,1018,NDNP,SHE,11-2020,01-2020,05-2020,90.3,90.3,-
cn,CHINA,CN-34,NINGDE-3,PWR,CPR-1000,2905,1089,1018,NDNP,CFHI,01-2020,03-2020,06-2020,90.4,90.4,-
cn,CHINA,CN-35,NINGDE-4,PWR,CPR-1000,2905,1089,1018,NDNP,CFHI,09-2020,03-2020,07-2020,92.6,92.6,-
cn,CHINA,CN-4,QINSHAN 2-1,PWR,CNP-600,1930,650,610,NPQJVC,CNNC,06-1996,02-2020,04-2020,87.5,87.6,-
cn,CHINA,CN-5,QINSHAN 2-2,PWR,CNP-600,1930,650,610,NPQJVC,CNNC,04-1997,03-2020,05-2020,88.3,88.3,-
cn,CHINA,CN-14,QINSHAN 2-3,PWR,CNP-600,1930,660,619,NPQJVC,CNNC,04-2020,08-2020,10-2020,91,91,-
cn,CHINA,CN-15,QINSHAN 2-4,PWR,CNP-600,1930,660,619,NPQJVC,CNNC,01-2020,11-2020,12-2020,90.3,90.4,-
cn,CHINA,CN-8,QINSHAN 3-1,PHWR,CANDU 6,2064,728,677,TQNPC,AECL,06-1998,11-2020,12-2020,90.6,91,-
cn,CHINA,CN-9,QINSHAN 3-2,PHWR,CANDU 6,2064,728,677,TQNPC,AECL,09-1998,06-2020,07-2020,91.7,92.2,-
cn,CHINA,CN-1,QINSHAN-1,PWR,CNP-300,966,330,298,CNNO,CNNC,03-1985,12-1991,04-1994,87.1,87.2,-
cn,CHINA,CN-28,SANMEN-1,PWR,AP-1000,3400,1251,1157,SMNPC,WH/MHI,04-2020,06-2020,09-2020,92.9,93.8,-
cn,CHINA,CN-29,SANMEN-2,PWR,AP-1000,3400,1251,1157,SMNPC,WH/MHI,12-2020,08-2020,11-2020,19.9,19.9,-
cn,CHINA,CN-32,TAISHAN-1,PWR,EPR-1750,4590,1750,1660,TNPJVC,AREVA,11-2020,06-2020,12-2020,90.3,90.3,-
cn,CHINA,CN-33,TAISHAN-2,PWR,EPR-1750,4590,1750,1660,TNPJVC,AREVA,04-2020,06-2020,-,-,-,
cn,CHINA,CN-10,TIANWAN-1,PWR,VVER V-428,3000,1060,990,JNPC,IZ,10-1999,05-2020,05-2020,89.3,89.4,-
